0,1,2
"RT @raymach1: @David_Cameron according to you everything in the World will suffer if we #LeaveEU , very desperate argument #callmedave",730759400445644801,Positive
N Ireland's £850m farm exports to Republic of Ireland at risk if UK leaves the EU: #Brexit https://t.co/57dBCeqeEl https://t.co/km1Ii8b8Qc,730759383253192705,Neutral
RT @EU_Mainstream: Yet more evidence that #Brexit will have negative economic impact. Britain's economy is #StrongerIn  https://t.co/UWlnsa…,730759377548918784,Negative
"The issue in Wales is now one of *perception*. Labour paint Plaid as working w. UKIP/Tories to gain power, Plaid protest this, but what now?",730759375174897664,Neutral
RT @nickeardleybbc: Two UKIP members of the Welsh Assembly now say they'll back Labour's choice for first minister https://t.co/otcUlAHRak,730759372603789313,Negative
r u 4 real @Vice? https://t.co/uFAtFHMn8D https://t.co/fjThdjpjU3,730759366530478080,Neutral
Thing people are forgetting about the debate is that @Nigel_Farage will have facts on his side rather than spin. Cameron will lose. #UKIP,730759365142167552,Neutral
RT @rshotton: Small wording changes make huge differences - for Brexit &amp; brands - research by @zenith https://t.co/VwMzgJRqA1 https://t.co/…,730759363175034880,Neutral
"RT @DianeJamesMEP: This is what the Unelected EU Elites who make decisions that affect your life, think of you! #BREXIT https://t.co/ufXtOi…",730759346766876672,Positive
RT @dariomazzola: In/out UK has to deal with EU!  #Brexit means back of the queue! Expect 5-10yr #trade agreement delay per country!  https…,730759344879505409,Neutral
RT @LeftFootFwd: Boris Johnson's #Brexit Bus is peddling a lie - we don't 'send EU £350m a week'. https://t.co/5i5blcXREz #BorisBus https:/…,730759334796349440,Negative
"RT @betteroutofEU: ""Brexit would boost Britain’s global influence"" #VoteLeave #LeaveEU #brexit #TakeControl https://t.co/fSKfJpTVuD",730759321068445696,Positive
RT @sophgaston: The #Brexit Twittersphere: new @Demos blog maps networks beneath the campaign battleground https://t.co/U9dtkJp2IK https://…,730759317884915712,Neutral
"""We believe it would be a mistake to put one of our most thriving and innovative sectors at risk.” https://t.co/EZqNXLvS6g #Brexit #tech",730759317075439617,Negative
Come along and support the #VoteLeave stall at #Eastleigh market on Saturday 14th May 9am-12,730759310754611201,Positive
RT @UKIP: Will you be watching? https://t.co/2iK88EZIcJ,730759308707811328,Neutral
RT @MitchellGoldie: Follow @brexitbattlebus for constant updates from the Vote Leave Battle Bus! #VoteLeave #TakeControl,730759305792749568,Positive
"RT @theordinaryman2: the #EU are stealing our Fish

 #WeWantOurFishBack

#EUreferendum #LeaveEU #StrongerIn #Brexit #VoteLeave https://t.co…",730759304253452289,Positive
Ha ha! J'aurais bien aimé tomber sur cet article plus tôt. https://t.co/mQCxlBgbyS via @TheLocalFrance,730759296955367424,Positive
Lord Lamont's reaction to #BoE claims that Britain coudl face recession under #Brexit. Coming up on @skynews,730759295478960129,Neutral
"2 important diary dates – 7 June to register to vote and 23 June for the
#EURef #youcantmissit #yourvotematters",730759289057513472,Neutral
"Just to be fair i wish Cameron luck in his fight against corruption. I hope he is sincere, determined and successful in his efforts. #Brexit",730759278630424577,Positive
"RT @sonofr: #Brexit is biggest risk to UK economy, warns Bank of England. Of course it is!  https://t.co/16PeENyEQH",730759264386617344,Negative
"Lamont: ""If [Mark Carney's] unwise words become self-fulfilling, the responsibility will be the Governor's."" #EUref",730759256530661377,Neutral
"RT @ScienceBritain: UK researchers and their families will still be able to live, work and study in the EU should we #Brexit. https://t.co/…",730759251883347968,Positive
